gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen8ubers-1364342148,ItsCh0c0,"Darmanitan-Galar, F",Zeraora,"Scizor, M",Volcanion,"Dragapult, F",Calyrex-Ice,False
/gen8ou-1364341101,EJF,"Landorus-Therian, M","Nidoking, M","Corviknight, F","Urshifu-*, M",Victini,"Dragapult, F",False
/gen8battlestadiumsingles-1364342626,Very Large Succ,"Garchomp, L50, M","Hippowdon, L50, M","Cinderace, L50, M","Zapdos, L50","Celesteela, L50","Tapu Lele, L50",True
/gen8uu-1364341318,RabiesBabies,"Chandelure, M","Scizor, F",Zarude-Dada,Keldeo-Resolute,"Hatterene, F","Salamence, M",False
/gen8vgc2021series9-1364340704,HagridGoesVGC,"Glastrier, L50","Dusclops, L50, M","Regieleki, L50","Urshifu-*, L50, F","Tapu Fini, L50","Incineroar, L50, M",False
/gen8battlestadiumsingles-1364341276,alsrb030521,"Ponyta, L50, F","Rapidash-Galar, L50, M","Mudsdale, L50, M","Spectrier, L50","Glastrier, L50",,True
/gen8battlestadiumsingles-1364341276,gshs5,,,,,,"Mimikyu, L50, M",False
/gen8vgc2021series9-1364341832,yy2369,"Liepard, L50, M","Hatterene, L50, F","Kartana, L50","Vikavolt, L50, F","Incineroar, L50, M","Thundurus, L50, M",True
/gen8challengecup1v1-1364326470,cooldog,"Amoonguss, L76, F","Vileplume, L75, M","Lurantis, L75, F","Rhydon, L75, F","Barbaracle, L74, F","Yamper, L91, F",True
/gen8battlestadiumsingles-1364341560,Phantom_Riot_073,"Gallade, L50, M","Urshifu-*, L50, F","Dubwool, L50, M","Kommo-o, L50, M","Garchomp, L50, M","Spectrier, L50",False
/gen8anythinggoes-1364338301,I am testing lol,Xerneas-*,Zekrom,"Ferrothorn, M",Necrozma-Dusk-Mane,Zacian-*,Yveltal,True
/gen3ou-1364339921,Leftwingbo,,,,,,,False
/gen3ou-1364339921,Sheeplol,,,,,,,True
/gen8monotype-1364338640,Horacion28,"Volcarona, M","Scizor, M","Shuckle, M","Scolipede, M",Buzzwole,Shedinja,False
/gen8nationaldexag-1364340510,Gooaah,"Volcarona, F","Garchomp, F","Haxorus, M","Tyranitar, F","Kommo-o, F","Salamence, F",True
/gen8vgc2021series9-1364340618,yy2369,"Liepard, L50, F","Hatterene, L50, F","Kartana, L50","Vikavolt, L50, F","Incineroar, L50, F","Thundurus, L50, M",True
/gen7ou-1364340133,kalifguest22,"Venusaur, M","Greninja, M",Celesteela,"Garchomp, F",Tapu Fini,Ditto,True
/gen7anythinggoes-1364338748,Gesedf,"Sylveon, M","Hydreigon, F","Milotic, F","Breloom, M","Volcarona, M","Froslass, F",False
