gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen8customgame-1368956505,Thundathighs,"Pelipper, F","Toxicroak, M","Ludicolo, F","Beartic, F","Palossand, M","Mr. Mime-Galar, F",True
/gen8nationaldex-1368956587,Nunofyabeeswax,"Tyranitar, F",Tapu Koko,"Landorus-Therian, M","Toxapex, M","Ferrothorn, M","Infernape, M",False
/gen8ou-1368957230,PinkyTheKid7,"Blaziken, F","Shuckle, F","Klefki, M","Zoroark, M","Hippowdon, M","Tentacruel, F",True
/gen8waterparadise-1368957009,dudu_gods,"Starmie, L50","Sharpedo, L50, F","Qwilfish, L50, M","Rotom-Wash, L50","Toxapex, L50, F","Swampert, L50, M",True
/gen8waterparadise-1368957092,dean44,"Crawdaunt, L50, F","Barraskewda, L50, F","Milotic, L50, F","Toxapex, L50, F","Gastrodon-East, L50, M","Araquanid, L50, M",False
/gen8ou-1368956755,LaxativeCement,"Garchomp, M","Blaziken, F",Kartana,"Dragonite, F",Magnezone,Zapdos,True
/gen4ou-1368957413,Onyx6s,,,,,,,True
/gen4ou-1368957413,Seasoot,,,,,,,False
/gen8nationaldex-1368954854,magejoker,"Skarmory, F","Charizard, F","Venusaur, M","Blissey, F","Dusclops, F",Mew,True
/gen4ou-1368952933,SleepWellMoonMan,,,,,,,True
/gen4ou-1368952933,Gooigi88,,,,,,,False
/gen8ou-1368956144,O Man2020,"Skarmory, F","Mamoswine, F","Hippowdon, M",Tapu Koko,"Blissey, F",Dracozolt,True
/gen5ou-1368953769,Ricygamer,"Ninetales, F","Volcarona, M","Skarmory, F","Chandelure, F","Darmanitan, M","Espeon, F",False
/gen8ou-1368956979,LT81YL justamente,Mew,"Dragapult, F","Bisharp, F","Garchomp, F","Volcarona, M","Cloyster, F",False
/legacyvgc-gen8vgc2021series10-4768,Papi Cantan,"Calyrex-Shadow, L50","Indeedee-F, L50, F","Urshifu-*, L50, M","Rillaboom, L50, M","Tapu Fini, L50","Incineroar, L50, M",True
/gen8ou-1368955752,Shane Tsung,"Lurantis, M","Weavile, M","Quagsire, M","Blissey, F","Nidoking, M","Clefable, F",True
/sports-gen8nationaldexdlcdraft-447272,Riptide2604,Zygarde-10%,"Gardevoir, M","Gallade, M",Polteageist,"Ferroseed, M",Silvally-*,False
/sports-gen8nationaldexdlclegacy-447274,kjnxx,Tapu Lele,"Venusaur, F","Goodra, M","Magmortar, F","Galvantula, M","Machamp, M",True
/gen8nationaldex-1368952418,IS'd GUTTY 2.0,"Ninetales-Alola, M",Arctozolt,"Avalugg, F","Mamoswine, M","Weavile, F",Kyurem,False
