gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen8monotype-1363945720,Ruffbot,"Goodra, F","Dragapult, F","Latios, M","Dragonite, M","Duraludon, M","Garchomp, F",False
/gen8nationaldexmonotype-1363945412,Charliebrown567,"Beedrill, M",Nihilego,"Muk-Alola, F","Crobat, F","Amoonguss, F","Slowbro-Galar, M",False
/gen8nationaldex-1363945209,Galarian Blades,"Gallade, M","Latios, M","Landorus-Therian, M","Thundurus-Therian, M","Braviary, M",,True
/gen8nationaldex-1363945209,thepoopidoopi,,,,,,"Tentacruel, M",False
/gen7anythinggoes-1363945269,I no speak english,Kyogre,Shaymin-Sky,Xerneas,Necrozma-Dawn-Wings,Rayquaza,Deoxys-Speed,False
/gen8ou-1363925253,Siiroth,"Dragapult, F","Clefable, M","Mandibuzz, F","Aegislash, F","Obstagoon, M","Runerigus, M",False
/nacionstall-gen8ouns-261,Oliversaldana,"Simisage, F","Clawitzer, F","Heatran, F","Scizor, F","Alcremie, F","Tangrowth, M",True
/gen8mixandmega-1363942506,ValidusRex,"Scrafty, M",Keldeo,"Omastar, F","Ferrothorn, M","Ninetales, M","Corviknight, F",False
/gen8nationaldexag-1363945572,KinsNaps,"Skarmory, M",Magnezone,Metagross,Dialga,Stakataka,Necrozma-Dusk-Mane,True
/gen8vgc2021series9-1363944033,balebale2000,"Blastoise, L50, M","Clefairy, L50, F","Mimikyu, L50, M","Tornadus, L50, M","Scizor, L50, M",,False
/gen8vgc2021series9-1363944033,Hadrian1921,,,,,,"Entei, L50",True
/gen8vgc2021series9-1363943010,Rulo_BM,"Glastrier, L50","Dusclops, L50, M","Tapu Fini, L50","Landorus-Therian, L50, M","Regieleki, L50","Heatran, L50, F",False
/gen8nationaldexag-1363943421,Phantom 56,Calyrex-Shadow,"Dragonite, F","Cinderace, M","Greninja, M",Ditto,"Beedrill, F",True
/gen7anythinggoes-1363945496,golduck wins,"Golduck, M",,,,,,True
/gen7anythinggoes-1363945496,Ishaan0312,,Groudon,,,,,False
/gen6anythinggoes-1363943578,Abhay Gupta,"Greninja, L59, M","Gogoat, L58, F","Heliolisk, L58, F",,,,True
/gen6anythinggoes-1363943578,TESTMYBUTT,,,,"Barbaracle, L65, M",,,False
/sports-gen6draftleague-441609,Pez743,"Empoleon, M","Gardevoir, M","Gligar, M","Gengar, M",Carbink,"Snorlax, M",False
/gen8nationaldexmonotype-1363943823,Charliebrown567,Tapu Koko,"Ampharos, F","Thundurus-Therian, M","Galvantula, F","Raichu-Alola, M",Zeraora,True
/gen8monotype-1363943582,PotatoConqueror,"Dragapult, F","Dragonite, M",Kyurem,Dracozolt,"Kommo-o, M","Druddigon, M",False
