gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen8ou-1369085424,oasidle,"Urshifu-*, M","Clefable, M",Kyurem,"Landorus-Therian, M","Dragapult, M","Corviknight, F",True
/china-gen7ou-728406,WQX Ghost Fire,"Pinsir, M",Zygarde-10%,Magearna,Rotom-Wash,Kartana,"Landorus-Therian, M",True
/gen8sharedpower-1369085819,keahi,Volcanion,"Latios, M",Zeraora,"Chandelure, M","Skarmory, M","Conkeldurr, F",False
/gen8vgc2021series9-1369084772,JoeUX9,"Gothitelle, L50, F","Primarina, L50, F","Stakataka, L50","Yveltal, L50","Rillaboom, L50, F","Incineroar, L50, M",False
/gen3ou-1369083619,panmurebarber,,,,,,,False
/gen3ou-1369083619,Fk u2,,,,,,,True
/gen8partnersincrime-1369085998,lukayaba,Tapu Koko,"Toxtricity-Low-Key, M",Regieleki,"Latias, F","Blissey, F","Tsareena, F",False
/gen8vgc2021series9-1369083833,Zachu's Alt,"Calyrex-Shadow, L50","Indeedee-F, L50, F","Regieleki, L50","Urshifu-*, L50, M","Incineroar, L50, M","Jellicent, L50, M",True
/gen8nationaldex-1369084664,BirdIsTheMuffinMan,"Meganium, M","Feraligatr, F","Typhlosion, M","Umbreon, M","Espeon, F",Suicune,False
/gen8nationaldexag-1369085282,Chronigma,"Charizard, M","Aegislash, M","Dragapult, F","Haxorus, F","Mr. Rime, F","Inteleon, M",False
/gen8ubers-1369083747,Sizzle_5,Tapu Lele,Mewtwo,Calyrex-Shadow,"Tyranitar, M",Necrozma-Dusk-Mane,Dracovish,True
/gen8ou-1369085155,LT81YL BIGK,"Ferrothorn, M",Tapu Koko,"Slowking-Galar, F","Dragonite, F","Clefable, F","Landorus-Therian, M",False
/gen8vgc2021series9-1369084517,hekapuu,"Lapras, L50, M","Shiftry, L50, M","Chandelure, L50, F","Duraludon, L50, M","Tapu Lele, L50","Thundurus, L50, M",True
/gen8nationaldexag-1369085415,AG Champion Red,Hoopa,,,,,,True
/gen8nationaldexag-1369085415,pokemh galar,,"Cresselia, F",,,,,False
/gen1ou-1369084424,derinin,,,,,,,False
/gen1ou-1369084424,Lux233,,,,,,,True
/gen8lc-1369084328,OmGgGG2rrain,"Grookey, L5, M","Scorbunny, L5, M","Diglett, L5, M","Dratini, L5, M","Krabby, L5, F","Abra, L5, M",True
/gen8vgc2021series9-1369082438,manu1208,"Dragapult, L50, M","Togekiss, L50, F","Tyranitar, L50, M","Excadrill, L50, M","Incineroar, L50, M","Rotom-Wash, L50",False
/gen8nationaldexag-1369085199,ffdgdfgfdgd,Zacian-*,Rayquaza,Groudon,Necrozma-Dusk-Mane,Arceus-*,"Tyranitar, M",True
