gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen8ou-1369647017,US ARMY 2021,"Garchomp, M",Tapu Koko,"Ferrothorn, M","Heatran, F","Slowbro, F","Landorus-Therian, M",True
/gen8vgc2021series9-1369647640,KinimaP,"Kingdra, L50, M","Politoed, L50, F","Amoonguss, L50, F","Gothitelle, L50, M","Coalossal, L50, M","Azumarill, L50, F",True
/gen8vgc2021series9-1369640775,MolinaVGC,"Blastoise, L50, M","Clefairy, L50, M","Landorus-Therian, L50, M","Incineroar, L50, M","Registeel, L50","Rillaboom, L50, F",False
/gen8nationaldexmonotype-1369644278,BonnetBee,"Galvantula, F","Heracross, M","Scolipede, F","Yanmega, M","Beedrill, F",Shedinja,False
/gen8vgc2021series9-1369640268,MolinaVGC,"Blastoise, L50, M","Clefairy, L50, F","Landorus-Therian, L50, M","Incineroar, L50, F","Registeel, L50","Rillaboom, L50, M",False
/sports-gen8galardexdraft-448074,Passimian Attacks,"Incineroar, F","Corviknight, M","Aromatisse, F","Passimian, M","Duraludon, F","Thundurus-Therian, M",True
/gen8vgc2021series9-1369643490,Rogelio Tinoco,"Azumarill, L50, F","Amoonguss, L50, M","Moltres-Galar, L50","Regieleki, L50","Incineroar, L50, F","Landorus-Therian, L50, M",True
/gen8monotype-1369647025,Fliror,"Crawdaunt, F","Bisharp, F","Grimmsnarl, M",Moltres-Galar,"Hydreigon, M","Mandibuzz, F",False
/gen8nationaldexag-1369647984,AdriDelPan,"Pinsir, M","Araquanid, F","Orbeetle, F","Butterfree, F",Genesect,"Scolipede, F",True
/gen8nationaldexag-1369647053,leavemygoodsalone,Dhelmise,"Chatot, M","Krookodile, F","Weavile, F",Naganadel,Mew,False
/gen8ou-1369646301,TheOneAboveAll115,"Kommo-o, F",Zapdos-Galar,"Heatran, M","Swampert, M","Gengar, F","Blissey, F",False
/gen8ou-1369632774,LT81YL Storm,Tapu Fini,"Weavile, M",Melmetal,"Landorus-Therian, M","Dragonite, M","Marowak-Alola, M",True
/gen8vgc2021series9-1369645430,Aliadon98,"Stakataka, L50","Tapu Fini, L50","Dusclops, L50, M","Incineroar, L50, M","Rillaboom, L50, F","Moltres-Galar, L50",False
/gen7battlefactory-1369645091,ErenNotYaeger,"Ferrothorn, F","Whimsicott, F","Venusaur, M","Gourgeist-*, M","Serperior, M","Amoonguss, M",False
/legacyvgc-gen8vgc2021series10-16298,furretsucksVGC,"Liepard, L50, F","Reshiram, L50","Tapu Lele, L50","Kartana, L50","Landorus, L50, M","Pheromosa, L50",False
/gen8nationaldexag-1369637817,DDK2,"Chansey, F",Porygon2,Arceus-*,"Toxapex, F","Quagsire, F",Ditto,True
