gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen8vgc2021series9-1368056647,AGoodFrenchDip,"Dragapult, L50, M","Coalossal, L50, F","Rillaboom, L50, F","Urshifu-*, L50, M","Moltres-Galar, L50","Regieleki, L50",True
/gen8vgc2021series9-1368056610,0UCHP0T8T0E,"Indeedee-F, L50, F","Torkoal, L50, M","Nihilego, L50","Hatterene, L50, F","Celesteela, L50","Stakataka, L50",True
/gen8anythinggoes-1368052509,DeskoRV,Blacephalon,"Lickilicky, F","Klefki, F",Tapu Fini,"Jolteon, F","Cursola, M",False
/gen8vgc2021series9-1368055747,Tvoje mama,"Pincurchin, L50, F","Amoonguss, L50, M","Indeedee-F, L50, F","Hatterene, L50, F","Dhelmise, L50","Moltres-Galar, L50",False
/gen7ubers-1368055695,Sp6ace,Tapu Fini,"Gliscor, F","Muk-Alola, F","Lucario, M",Blacephalon,"Froslass, F",True
/gen8nationaldex-1368055709,NXBKN Plushietran2,"Blaziken, F",Tapu Koko,"Serperior, F","Hawlucha, F","Landorus-Therian, M","Gyarados, M",True
/gen3ou-1368053890,EricNPA,,,,,,,True
/gen3ou-1368053890,FACK FEKAS,,,,,,,False
/gen8ou-1368051482,LT81YL Maya,Mew,"Bisharp, M",Necrozma,"Dragapult, F","Cloyster, F","Rillaboom, M",True
/gen2ou-1368055918,Radaty,,,,,,,False
/gen2ou-1368055918,Uncle Eyeroll,,,,,,,True
/gen8nationaldex-1368055666,Nehehkhara666,"Slaking, F","Crabominable, F",Porygon2,"Kingdra, F","Weezing-Galar, F",Dhelmise,False
/gen8ou-1368056280,LeKierio,Tapu Bulu,"Latias, F",Zeraora,Arctovish,Silvally-*,"Tornadus-Therian, M",False
/gen8monotype-1368053945,RainyWoop,"Tyranitar, M","Bisharp, F","Weavile, M","Grimmsnarl, M","Skuntank, M","Obstagoon, M",True
/gen8anythinggoes-1368055893,Wefew,"Krookodile, M",Regieleki,"Lycanroc, M",,,,True
/gen8anythinggoes-1368055893,SuperSandro00,,,,"Aegislash, M",,,False
/gen6ou-1368056179,destroyingpotato,"Chansey, F",Suicune,"Altaria, M","Garchomp, F",Magnezone,"Salamence, F",True
/gen3ou-1368052909,Ktorminaa,,,,,,,False
/gen3ou-1368052909,justtesting 987,,,,,,,True
/gen8nationaldex-1368052216,sword 13,"Latios, M","Tyranitar, M","Mamoswine, F",Bronzong,"Infernape, F","Gengar, F",False
/gen5ou-1368054502,Free Mew in DPP,"Cloyster, F","Landorus-Therian, M","Breloom, F","Dragonite, F","Volcarona, F",Jirachi,True
