gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen8nationaldex-1364222130,Francis Niven III,"Serperior, F","Honchkrow, F","Gastrodon, F",Rotom-Heat,Porygon-Z,"Corviknight, F",False
/gen8nationaldex-1364225629,phoenixofgreen,"Ninetales-Alola, F",Arctozolt,"Clefable, M","Mandibuzz, F","Vanilluxe, M","Infernape, F",False
/gen8vgc2021series9-1364223049,SayNoToCovid,"Weavile, L50, M","Blastoise, L50, M","Politoed, L50, F","Goodra, L50, F","Gourgeist-*, L50, F","Drednaw, L50, M",False
/gen8ou-1364219880,Ghoul1929,"Garchomp, F","Slowking, M","Dragapult, F","Bisharp, M","Clefable, F","Skarmory, M",True
/gen8nationaldexag-1364221471,Perezsoso,"Omastar, M",Solrock,"Gigalith, F","Tyrantrum, M","Lycanroc-Dusk, M","Tyranitar, F",False
/gen8nationaldex-1364225384,surgentjames,Kartana,"Charizard, F",Tapu Lele,"Aegislash, M","Landorus-Therian, M","Kommo-o, M",True
/gen8anythinggoes-1364221182,namke123,"Tyranitar, F",Regieleki,"Araquanid, F","Corviknight, M","Mimikyu, F",Regice,False
/gen3ou-1364224128,Drake Seawood,,,,,,,False
/gen3ou-1364224128,1nightinTHEASIANCY,,,,,,,True
/gen8nationaldexag-1364222060,Rojoku,Rayquaza,Mewtwo,Zeraora,Melmetal,Celesteela,Silvally-*,False
/gen8challengecup1v1-1364224370,PlzLykMi,"Dartrix, L79, M","Golisopod, L72, F","Articuno, L69","Smoochum, L88, F","Gossifleur, L93, M","Latias, L68, F",True
/gen4ou-1364220746,CynthiaPkmTrainer,,,,,,,False
/gen4ou-1364220746,Sarah Falkner,,,,,,,True
/gen6ou-1364221976,ImSirPutasso,"Talonflame, F","Charizard, M","Dragonite, F","Archeops, M","Mandibuzz, F","Gliscor, M",True
/gen8nationaldex-1364224133,phoenixofgreen,Zeraora,Zapdos-Galar,"Slowbro, M","Rillaboom, M","Lopunny, F","Heatran, F",True
/gen8vgc2021series9-1364223791,ez clap1944,"Zacian-*, L50","Ninetales, L50, M","Heliolisk, L50, F","Garchomp, L50, F","Inteleon, L50, M","Nihilego, L50",True
/gen6pu-1364222512,Ho3nConfirm3d,"Quilladin, F","Meowstic-F, F","Banette, M","Krokorok, F",Regigigas,"Electabuzz, M",True
/gen8nationaldexag-1364222451,Regal Intent,"Gengar, F","Clefable, F","Spiritomb, F","Dragonite, M","Serperior, F","Pinsir, M",False
/gen8nationaldex-1364222022,BlackXce,"Ferrothorn, F","Greninja, M",Manaphy,"Pelipper, F","Swampert, M","Tornadus-Therian, M",True
