gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen8battlestadiumsingles-1368691045,gshs5,"Latios, L50, M","Lanturn, L50, M","Scizor, L50, F","Landorus-Therian, L50, M","Sylveon, L50, F","Spectrier, L50",True
/gen8ubers-1368693737,Go03er,"Zoroark, F","Machamp, F","Mimikyu, F",Polteageist-Antique,Ditto,"Comfey, M",True
/gen8lc-1368688285,qwes oat,"Vullaby, L5, F","Porygon, L5","Diglett, L5, F","Staryu, L5","Mienfoo, L5, F","Pawniard, L5, M",False
/gen8nationaldex-1368690178,Finbobs0508,"Urshifu-*, F","Charizard, M",Zapdos,"Blastoise, M","Venusaur, F","Altaria, M",True
/gen31v1-1368692873,dedddgamerman,"Alakazam, M","Hariyama, M","Charizard, M",,,,True
/gen31v1-1368692873,K3NIX0190,,,,"Machamp, F",,,False
/gen8ou-1368673209,La Piri,"Garchomp, F","Skarmory, F","Clefable, F","Blissey, F","Dragonite, F","Aegislash, M",False
/gen8battlestadiumsingles-1368690656,TERUKITI,"Mimikyu, L50, F","Zapdos, L50","Porygon2, L50","Cinderace, L50, M","Excadrill, L50, M","Pheromosa, L50",False
/gen8ou-1368690213,anta158,"Togekiss, F","Galvantula, F","Cloyster, F","Sandaconda, F","Excadrill, M","Cinccino, M",False
/gen8nationaldexag-1368689273,SirCagus,Calyrex-Shadow,"Chansey, F","Shuckle, M",Moltres-Galar,"Excadrill, M",Ditto,True
/gen8battlestadiumsingles-1368690669,loston,"Zapdos, L50","Landorus-Therian, L50, M","Toxapex, L50, M","Mamoswine, L50, F","Magnezone, L50","Chandelure, L50, M",True
/gen8ou-1368689113,memphis bewears,Zapdos-Galar,"Dragalge, M","Exploud, M","Jolteon, F","Volcarona, F","Steelix, F",False
/gen81v1-1368692138,lovesic,"Sylveon, M","Urshifu-*, M","Togedemaru, L1, F",,,,False
/gen81v1-1368692138,cobalt-dj,,,,Tapu Fini,,,True
/gen8pu-1368686769,Moeoe,"Duosion, M","Tsareena, F","Aggron, F","Vespiquen, F","Runerigus, F","Poliwrath, F",False
/gen8vgc2021series9-1368688097,MaVeenn,"Tangela, L50, M","Tauros, L50, M","Kangaskhan, L50, F","Raikou, L50","Silvally-*, L50","Moltres, L50",False
/gen8vgc2021series9-1368689833,Borghi,"Regieleki, L50","Gothitelle, L50, F","Urshifu-*, L50, M","Rillaboom, L50, M","Incineroar, L50, M","Zacian-*, L50",True
/sports-gen8nationaldexdraft-446880,The_grass\o/,Zeraora,"Flygon, F","Spiritomb, F","Kadabra, F","Serperior, M","Clefable, M",True
/gen8ou-1368689328,LT81YL rohit,Mew,"Cloyster, M","Dragapult, M","Bisharp, F","Volcarona, M","Garchomp, F",True
