gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen7ou-1368341106,Jemema,Magnezone,"Serperior, M","Xatu, M","Espeon, M","Jolteon, M",Porygon-Z,True
/gen7uu-1368342349,Veinelso,"Krookodile, M",Celebi,"Crobat, F",Suicune,Cobalion,"Latias, F",True
/gen8vgc2021series9-1368341620,pandamonium7,"Porygon2, L50","Zapdos, L50","Tyranitar, L50, M","Dracovish, L50","Kartana, L50","Incineroar, L50, M",True
/sports-gen8nationaldexlegacy-446488,Linkie Pichu,"Vikavolt, M",Tapu Fini,Zygarde,Buzzwole,"Ferrothorn, F","Blissey, F",False
/sports-gen7ubers-446410,Zqiggs,Zapdos,Xurkitree,"Togedemaru, M","Eelektross, F","Raichu-Alola, F",Tapu Koko,True
/gen8nationaldex-1368343621,Newbie68,"Butterfree, F","Bellossom, F","Blastoise, M","Ferrothorn, M","Gardevoir, F","Jolteon, M",False
/gen8ou-1368341938,SpecialistCorgi,"Weavile, M","Tornadus-Therian, M",Tapu Fini,"Garchomp, M","Heatran, M","Volcarona, M",False
/gen8nationaldex-1368341491,Metal Soniczx,"Politoed, M","Ludicolo, F",Zapdos,"Scizor, F","Heliolisk, M","Clefable, M",False
/sports-gen8nationaldexdlcdraft-446489,Rembanths,"Espeon, M","Galvantula, F",Zygarde,Dhelmise,"Infernape, F",Tapu Fini,False
/gen7ou-1368340216,Emmz91,Rotom-Wash,"Latias, F","Clefable, M","Heatran, F","Scizor, F","Landorus-Therian, M",True
/gen3customgame-1368342664,Mr.Rod13,,,,,,,False
/gen3customgame-1368342664,mibradley4,,,,,,,True
/sports-gen8nationaldexlegacy-446527,vSpiceSv,"Scizor, F","Gardevoir, M","Swampert, F",Rotom-Wash,"Sneasel, F",Virizion,False
/gen8customgame-1368340974,Wizard_Engie432,"Noivern, M","Houndoom, M","Excadrill, M","Tyranitar, M",Magnezone,"Gengar, F",True
/gen8purehackmons-1368342654,ThatOneShip,Regieleki,"Grimmsnarl, M",Calyrex-Shadow,Regieleki,Eternatus-Eternamax,Eternatus-Eternamax,True
/gen8camomons-1368340887,wrk5646,"Lycanroc-Dusk, M","Alakazam, M",Volcanion,"Slowking, M","Clefable, M",Mew,False
/gen8anythinggoes-1368341180,KajiMUla,Zamazenta-*,"Heatran, F","Crobat, F","Scraggy, M","Inteleon, M",Polteageist-Antique,True
/gen8lc-1368339752,J00k,"�d-Galar, L5, M","Salandit, L5, M","Meowth, L5, M","Scraggy, L5, M","Frillish, L5, F","Wynaut, L5, M",True
/gen8nationaldex-1368340851,YoBluntSoSkimpy,"Beedrill, F","Latios, M","Toxapex, F",Deoxys-Defense,"Donphan, M",Shedinja,False
