gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen8nationaldexag-1367855385,pinkuleo,"Sirfetch''d, F","Mr. Rime, F",Darkrai,"Grimmsnarl, M","Alakazam, F","Marowak-Alola, F",True
/gen8vgc2021series9-1367854344,PrinsessaRusina,"Slowbro-Galar, L50, M","Sylveon, L50, F","Indeedee-F, L50, F","Regieleki, L50","Zapdos-Galar, L50","Heatran, L50, M",False
/gen8nationaldexag-1367853815,HikaruMaxwell_004,"Shuckle, M",Yveltal,Arceus-*,Kyogre,Zacian-*,Rayquaza,True
/sports-gen8nationaldexdraft-446023,orbYEETle,"Aggron, M","Vaporeon, F","Garchomp, M","Sylveon, F","Gengar, M",Hoopa-Unbound,False
/gen4ou-1367853503,Ztsyfug,,,,,,,False
/gen4ou-1367853503,dopeeater,,,,,,,True
/gen8ou-1367852404,GoodGriefHesNaked!,"Clefable, M",Tapu Lele,"Garchomp, M","Swampert, M","Skarmory, M",Regieleki,False
/gen8vgc2021series9-1367853062,PrinsessaRusina,"Slowbro-Galar, L50, M","Sylveon, L50, F","Indeedee-F, L50, F","Regieleki, L50","Zapdos-Galar, L50","Heatran, L50, M",False
/gen8ou-1367853350,Kouhie,"Landorus-Therian, M","Blissey, F",Tapu Lele,"Ferrothorn, F","Tornadus-Therian, M","Heatran, F",True
/gen8nationaldexag-1367852105,Oofichuuwu,Zacian-*,Zacian-*,Zacian-*,Zamazenta-*,Zamazenta-*,Ditto,False
/gen1ou-1367849759,deefsre,,,,,,,False
/gen1ou-1367849759,Lux233,,,,,,,True
/gen7ubers-1367853017,Yash Chauhan,Xerneas,Ho-Oh,"Aegislash, M","Blaziken, M","Scizor, M",Deoxys-Speed,False
/gen5uu-1367851864,AquaVanilla,Meloetta,"Blastoise, M","Rhyperior, F",Victini,Zapdos,Cobalion,False
/gen8nationaldex-1367852551,LoclizeMother3,Porygon-Z,"Diggersby, F","Gliscor, M","Skarmory, M","Hawlucha, F","Greninja, F",False
/gen8ou-1367852937,Kouhie,"Landorus-Therian, M","Blissey, F",Tapu Lele,"Ferrothorn, M","Tornadus-Therian, M","Heatran, F",True
/gen8ou-1367851199,vagine,"Cloyster, M",Zapdos-Galar,"Swampert, M","Corviknight, M","Dragapult, M","Tangrowth, F",False
/gen7anythinggoes-1367851120,swordrows,"Omastar, L55, M","Eelektross, L55, F","Aegislash, L58, M","Quagsire, L52, F","Glalie, L61, F","Decidueye, L51, M",True
/gen8vgc2021series9-1367852042,shyguywhy,"Pelipper, L50, F","Blastoise, L50, M","Dracovish, L50","Celesteela, L50","Seismitoad, L50, M","Ferrothorn, L50, M",False
