gameID,player,pokemon1,pokemon2,pokemon3,pokemon4,pokemon5,pokemon6,win
/oumonotype-82345404,kdarewolf,"Kecleon, F, shiny","Diggersby, M","Girafarig, M, shiny","Heliolisk, F","Chansey, F, shiny","Staraptor, F, shiny",True
/anythinggoes-218380995,Anta2,"Gardevoir, M, shiny",Genesect-*,"Delphox, M","Crobat, F","Ampharos, F","Absol, F",False
/uberssuspecttest-147833524,Metal Brellow,"Scolipede, M",Mew,"Smeargle, M","Espeon, M","Mr. Mime, F","Sylveon, F",False
/ou-20651579,RainSeven07,"Galvantula, M","Volcarona, M","Yanmega, F","Scizor, F","Heracross, M","Forretress, F",False
/balancedhackmons7322360,a ver,,,,,,,False
/balancedhackmons7322360,Shuckie,,,,,,,True
/smogtours-gen5ou-59402,Reymedy,"Politoed, M",Jirachi,"Breloom, F","Garchomp, M",Zapdos,"Tentacruel, M",True
/smogtours-gen3ou-56583,Pokebasket,,,,,,,True
/smogtours-gen3ou-56583,Alf,,,,,,,False
/smogtours-ou-55891,Malekith,"Scolipede, F",Diancie,"Reuniclus, M","Landorus, M","Ferrothorn, F","Raikou, shiny",False
/smogtours-ubers-54583,panamaxis,"Excadrill, L62, F, shiny","Volcarona, L62, F","Steelix, L62, F, shiny","Gyarados, L62, M, shiny","Heracross, L62, M, shiny","Thundurus, L62, M, shiny",True
/smogtours-ubers-34646,pansexual skitty,"Tyranitar, F","Excadrill, F",Arceus-*,Kyogre,"Latias, F","Klefki, M",False
/smogtours-uu-36860,IronBullet93,"Hippowdon, M","Stoutland, F","Tyrantrum, F","Whimsicott, F",Moltres,"Tentacruel, M",True
/smogtours-gen5ou-36900,lowgock,"Dragonite, M",Mew,"Forretress, F","Landorus-Therian, M","Gastrodon, M","Heatran, M",False
/smogtours-gen4ou-36782,Heist,,,,,,,False
/smogtours-gen4ou-36782,liberty32,,,,,,,True
/gen8vgc2021series9-1368570761,Cela9,"Tapu Fini, L50","Spectrier, L50","Porygon2, L50","Zapdos, L50","Regirock, L50","Landorus-Therian, L50, M",False
/gen8nationaldexag-1368570917,Vigash d,"Charizard, M",Arceus-*,Ho-Oh,,,,False
/gen8nationaldexag-1368570917,Yash543,,,,"Dubwool, F",,,True
/gen8vgc2021series9-1368567246,hyperhit94,"Zapdos, L50","Mimikyu, L50, F","Landorus-Therian, L50, M","Tapu Fini, L50","Tyranitar, L50, M","Metagross, L50",False
/gen8vgc2021series9-1368567100,hyperhit94,"Zapdos, L50","Mimikyu, L50, F","Landorus-Therian, L50, M","Tapu Fini, L50","Tyranitar, L50, M","Metagross, L50",False
/gen8nationaldexag-1368570313,Pedro_sh Grubbin,"Blaziken, M",Zygarde,Groudon,"Cinderace, F","Rillaboom, M",Ho-Oh,True
/gen8nationaldexag-1368571020,Haruo2103,"Breloom, M","Zebstrika, F","Espeon, F","Araquanid, M","Weavile, F","Altaria, F",False
/gen8nationaldexag-1368570099,Plasma darts,"Hydreigon, M","Cresselia, F","Scizor, F",,,,False
/gen8nationaldexag-1368570099,FerociousRoof9,,,,Kyurem-Black,,,True
/sports-gen8nationaldexdlclegacy-446813,syd scythers,Terrakion,"Lanturn, F","Frillish, F",Mew,"Nidoqueen, F","Scizor, M",True
/gen8vgc2021series9-1368569306,Br0Sk1llz,"Zacian-*, L50","Gothitelle, L50, M","Incineroar, L50, F","Rillaboom, L50, F","Urshifu-*, L50, F","Regieleki, L50",False
/gen6ou-1368569783,Lava Crystal,"Charizard, F","Azumarill, M","Thundurus, M","Garchomp, F","Serperior, M","Alakazam, F",True
/gen8ou-1368569510,blank_revival,"Malamar, F","Diggersby, F",Stakataka,"Cresselia, F",Magnezone,"Mimikyu, M",False
/gen7anythinggoes-1368567133,chihali_pog,"Sylveon, F","Gliscor, M","Forretress, M",Marshadow,"Pidgeot, F","Ambipom, F",True
/gen8ou-1368569427,Dstheboss7,"Bisharp, F","Dragapult, M","Landorus-Therian, M",Tapu Koko,"Scizor, F",Tapu Fini,True
/gen8ou-1368567026,pyronimbus,"Torkoal, F",Zapdos,"Excadrill, M","Ninetales-Alola, F","Hippowdon, M","Pelipper, M",True
/gen3ou-1368568603,MAND3EP,,,,,,,True
/gen3ou-1368568603,Souffle Offense,,,,,,,False
/gen8nationaldexag-1368569199,Pedro_sh Grubbin,"Blaziken, M",Zygarde,Groudon,"Cinderace, F","Rillaboom, M",Ho-Oh,False
/gen8ou-1368567993,lloquin,"Ninetales-Alola, F","Bisharp, M","Tyranitar, M","Skarmory, F","Primarina, M","Blaziken, F",False
